CharName,word
Poet,49285
(stage directions),16255
Henry V,15076
Falstaff,14471
Hamlet,11900
Duke of Gloucester,9285
Antony,8592
Iago,8410
Henry IV,8206
Vincentio,6955
Henry VI,6883
Richard III,6831
Queen Margaret,6793
Coriolanus,6579
Timon,6436
Othello,6294
Richard Plantagenet (Duke of Gloucester),6134
King Richard II,6053
Rosalind,5740
Titus Andronicus,5724
Lear,5699
Earl of Warwick,5645
Brutus,5506
Helena,5407
Portia,5404
Macbeth,5392
Prospero,5047
Duke of Buckingham,4911
Leontes,4891
Biron,4826
Cleopatra,4778
Romeo,4707
Hotspur (Henry Percy),4685
Petruchio,4676
Pericles,4605
Claudius,4519
Imogen,4407
Hostess Quickly,4396
Juliet,4358
Menenius Agrippa,4305
Philip the Bastard,4081
King Edward IV (Plantagenet),4029
Troilus,3984
Clown,3910
Antonio,3897
Cassius,3887
King of France,3842
Benedick,3759
Earl of Suffolk,3635
Lord Talbot/Earl of Shrewsbury,3615
Ulysses,3562
Henry VIII,3469
Ferdinand,3448
Posthumus Leonatus,3447
Messenger,3431
King John,3337
Cardinal Wolsey,3271
Proteus,3268
Octavius,3227
Iachimo,3198
Pandarus,3168
Angelo,3048
Isabella,3018
Parolles,2978
Queen Katharine,2966
Valentine,2923
Edgar,2884
Shylock,2876
Claudio,2867
Aaron,2835
Gower,2804
Desdemona,2761
Queen Elizabeth,2751
Friar Laurence,2737
Polonius,2700
Sir Toby Belch,2693
Leonato,2669
Earl of Kent,2625
Bassanio,2599
Viola,2573
Marcus Andronicus,2560
Ford,2558
Earl of Glouchester,2553
Mistress Page,2538
Belarius,2528
Chorus,2516
Fluellen,2507
Domitius Enobarus,2498
Don Pedro,2477
Feste,2437
Volumnia,2434
Julia,2431
Autolycus,2416
Edmund,2408
Paulina,2400
Touchstone,2384
Robert Shallow,2381
Orlando,2379
Beatrice,2363
First Lord,2357
Nurse,2356
Lucio,2353
Olivia,2349
Earl of Northumberland,2339
Thersites,2304
Tranio,2277
Lafeu,2255
Edmund of Langley,2252
Malvolio,2240
George Plantagenet (Duke of Clarence),2236
Pompey,2216
Princess of France,2183
Jack Cade,2174
Countess,2173
Queen,2161
Capulet,2151
Constance,2133
Cressida,2123
Horatio,2119
Adriana,2116
Celia,2107
Camillo,2099
Mercutio,2097
Dromio of Syracuse,2093
Tullus Aufidius,2089
Antipholus of Syracuse,2079
Pistol,2072
Joan la Pucelle,2069
Bertram,2049
Cloten,2045
Bottom,2041
Cymbeline,2013
Tamora,2000
Cominius,1996
Second Lord,1983
Cassio,1972
Polixenes,1971
Don Adriano de Armado,1962
Emilia,1951
Fool,1924
Lady Macbeth,1907
Sicinius Velutus,1897
First Gentleman,1893
Jaques (lord),1859
Launce,1847
Demetrius,1836
Duchess of York,1831
Boyet,1808
Servant,1807
Sir Hugh Evans,1798
Apemantus,1787
Antipholus of Ephesus,1772
Katherina,1769
Theseus,1752
Lord Hastings,1751
Flavius,1731
Sebastian,1719
Lucius,1706
Archbishop of Canterbury,1650
Saturninus,1630
Orsino,1630
Oberon,1614
Lord,1611
Page,1606
Hortensio,1597
Duke of Norfolk,1597
Junius Brutus,1585
Gratiano,1580
Lord Clifford,1580
Hermione,1575
Winchester,1566
Duke of Exeter,1565
Costard,1543
Hector,1542
Maria,1539
Duke of Milan,1535
John of Gaunt,1535
Dogberry,1527
Malcolm,1505
Pisanio,1496
King Phillip,1493
Goneril,1487
Grumio,1467
Speed,1464
First Senator,1464
Launcelot Gobbo,1461
Laertes,1460
First Citizen,1456
Earl of Westmoreland,1433
Escalus,1428
Earl of Worcester,1425
Regan,1418
Florizel,1406
Lucentio,1405
Lysander,1404
Rosaline,1389
Stephano,1385
Duke,1380
Agamemnon,1376
Puck,1374
Dromio of Ephesus,1355
Caliban,1355
Archbishop Scroop,1354
Gremio,1348
Lorenzo,1335
Baptista Minola,1332
Mistress Ford,1323
Achilles,1318
Holofernes,1307
Second Gentleman,1290
Hermia,1284
Marina,1272
Paris,1270
Cardinal Pandulph,1263
Gertrude,1262
Lady Anne,1252
Gonzalo,1221
Salisbury,1221
Ophelia,1209
Lewis,1197
Alcibiades,1196
Sir Andrew Aguecheek,1168
Titania,1168
Oliver,1168
Ariel,1167
Macduff,1164
Slender,1156
Provost,1155
Benvolio,1153
Simonides,1144
Third Gentleman,1143
Nestor,1139
Silvia,1137
Guiderius,1125
Moth,1117
Lord Chief Justice,1103
Lord Chamberlain,1103
Richmond (Henry VII),1100
Aegeon,1097
Duke of Albany,1095
Diana,1088
Host,1087
Gentleman,1078
Thomas Mowbray,1073
Earl of Salisbury,1066
Old Shepherd,1064
Casca,1062
"Charles, King of France",1051
Aeneas,1049
Archbishop Cranmer,1042
Edward Poins,1042
Brabantio,1041
Hubert de Burgh,1039
Captain,1033
Caesar,1031
Duke/Earl of Somerset,1007
Borachio,990
Hero,987
Arthur,977
Eleanor,963
Quince,957
Constable of France,920
Arviragus,918
Duke of Burgundy,916
Helicanus,915
Lewis the Dauphin,909
Ross,907
Miranda,906
Perdita,901
Don John,893
Prince John,878
Boy,874
Lady Capulet,874
Roderigo,861
Fabian,858
Third Citizen,853
First Soldier,850
Bawd,849
Cleon,833
Cordelia,833
Lord Bardolph,826
Diomedes,823
Trinculo,821
Doctor Caius,817
Bianca,809
Banquo,803
Sir William Stanley,799
Prince of Morocco,798
Salarino,798
